poi_id,name,category,poi_type,city,province,latitude,longitude,rating,review_count,description,opening_hours,booking_link,data_source,created_date
POI_000031,Al Ajlan Art Gallery,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"This gallery is truly an educational spot, and an artistic destination worth a visit to discover the art pieces hanging on its walls. You will find artistic paintings that create unique styles by mixing words with drawings; it will fill you with amazement. All of this and more is found in Riyadh, Prince Mohammed bin Saad bin Abdulaziz Road, Al Malqa.","sat, sun, mon, tue, wed To thu

5:00 PM To 10:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000032,King Fahad National Library,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"A huge source of information and an amazing architectural masterpiece, King Fahad National Library is located on King Fahad road in Olaya district with an area of about 87,000 square meters. Come and discover King Fahad National Library and all the exceptional content and services.","sun To thu:
8:00 AM To 8:00 PM
fri To sat: 
1:00 PM To 8:00 PM",https://kfnl.gov.sa/en/Pages/default.aspx,Visit_Saudi_Attractions,2026-01-15
POI_000033,Al-Areen Equestrian Club,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Al-Areen Equestrian Club offers many services for horse lovers including horse riding, training programs, educational programs, and horse shelter and care services in its stables.","mon To sat:
5:30 AM To 11:30 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000034,King Abdullah Financial District (KAFD),Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"KAFD is an iconic business and lifestyle destination with state-of-the-art physical and digital infrastructure. An architectural marvel designed by more than 25 world-leading architectural firms, KAFD currently has 95 towers that are reshaping the skyline of Riyadh.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000035,Al-Subaie Palace,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Al-Subaie Palace, located in Al-Shagra province in Riyadh, is one of the most significant historical palaces in Saudi Arabia. Built in a stunning Andalusian-Islamic style, the palace sits in the southwestern corner of the Old Town, offering a magnificent view of the historic souks (markets). This palace was once a resting place for King Abdul Aziz during his travels to and from Riyadh.","sun To thu:

7:00 AM To 4:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000036,Al-Munikh Visitor Center,Tourist Attraction,attraction,Riyadh,Riyadh,,,4.5,0,"Discover the Al-Munikh Visitor Center in Al-Majma'ah, located in the southern part of the historic town. Positioned on a strategically elevated site, this iconic watchtower provided the town's residents with unobstructed views in all directions, ensuring their safety and awareness of the surrounding areas.","sat, sun, mon, tue, wed To thu
10:00 AM To 6:00 PM
fri:
1:00 PM To 6:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000037,Hira Cultural District,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"A significant cultural and tourist attraction located next to Jabal Al-Nour, home of Hira Cave. It tells the story of the divine revelation and offers insights into the historical importance of the mountain and the cave. Hira Cultural District enriches visitors' cultural and educational experiences through its diverse facilities. Hira Cultural District Facilities include:

The Revelation Gallery
Museum of the Holy Quran
The way up to the cave
The Cultural Library
Visitor Center
Commercial facilities
Hira Garden and other facilities","Daily
8:00 AM To 1:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000038,Al Masjed Al Haram,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"Since the dawn of civilization, the Kaaba of Al Masjed Al Haram has had great religious significance, owing to its religious connotations associated with the Creator. Two billion Muslims face the direction of Kaaba, to which their hearts are attached too, to perform the five daily prayers, as commanded by the Almighty, and supplicate Him for mercy, assistance and guidance. 

Millions of Umrah, Hajj and prayer performers head to Makkah to perform these religious rites and enjoy the serenity of the place. 
It is important to note that only Muslims may visit Al Masjed Al Haram in Makkah.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000039,King Abdulaziz Complex for the Holy Kaaba Kiswa,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"A specialized factory for preparing the Kiswa of the Holy Kaaba, where it is crafted from silk embroidered with gold-plated threads, forming Quranic verses that adorn the walls of the Sacred House.","mon To thu:
8:00 AM To 11:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000040,Ain Zubaidah,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"Ain Zubaidah is a great archeological site of wonderful geometric design in Makkah. It reflects great care for pilgrims throughout history, as it is the oldest network used for providing pilgrims and travelers with water for 1200 years.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000041,Masjid Al-Taneem,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"Masjid Al-Taneem is one of the mosques of Makkah Al-Mukarramah that is located in the western part of the city of Makkah, about 7 km away from Masjid Al-Haram. It gained its fame because it was built in the place where Aisha bint Abu Bakr performed Umrah during the Farewell Pilgrimage in the 9th year of Hijra.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000042,Masjid Al-Jinn,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"Makkah embraces many mosques that represent Islamic historical landmarks, some of them are related to a story or an event during the era of the Messenger (PBUH), and one of them is Masjid Al-Jinn near the Al-Hajun neighbourhood.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000043,Masjid Al-Rajhi,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,The building of the mosque is characterized by Mamluk-style architecture.,"Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000044,Sheikh Abdul Aziz bin Baz Mosque,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,Sheikh Abdulaziz bin Baz Mosque is one of the largest mosques in Makkah and is famous for its distinguished location and beneficial activities.,"Daily
4:00 AM To 9:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000045,Masjid Sheikh Abdul Qadir Naseer,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,It is one of the largest mosques in Makkah. It was established at the beginning of Ramadan in the year 1423 AH.,"Daily
4:15 AM To 10:30 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000046,Makkah Museum,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"In the historic Al Zaher Palace, once a royal household, the Makkah Museum holds exhibits telling the history of Makkah, the archaeology of Saudi, and the story of the rise of Islam. The building is a masterpiece of Islamic art and architecture.","Daily
8:00 AM To 12:30 PM",https://heritage.moc.gov.sa/en/locations/al-zaher-palace,Visit_Saudi_Attractions,2026-01-15
POI_000047,Clock Tower Museum,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"The ultimate destination for astronomy enthusiasts, the museum offers an interactive and enjoyable experience for all visitors to explore the beauty of the universe, the wonders of the solar system, and the mechanisms of timekeeping. It also offers many unique activities suitable for all age groups.","Daily
2:00 PM To 11:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000048,Museum of the Holy Quran,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"The first private museum dedicated to showcasing the history and transcription of the Holy Quran in Makkah, located in the Hira Cultural District. It offers visitors a distinguished collection of rare Quranic manuscripts and enhances their experience with the latest museum technologies.","sat, sun, mon, tue, wed To thu
9:00 AM To 9:00 PM
fri: 
4:00 PM To 9:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000049,Revelation Exhibition,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"It presents the story of the revelation from its very first light in the Cave of Hira, along with detailed aspects of the life of Prophet Muhammad (peace be upon him). The museum features halls equipped with the latest audiovisual display technologies, offering visitors an interactive experience that enriches their knowledge of the Prophets biography.","Daily
7:30 AM To 11:30 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000050,International Exhibition and Museum of the Biography of the Prophet and Islamic Civilization,Tourist Attraction,attraction,Makkah,Makkah,,,4.5,0,"Explore the life of our Prophet Muhammad (peace be upon him) throughout history, his noble qualities, his Sunnah, and his life with his wives and companions. The museum presents it in a detailed, captivating storytelling style. The exhibition is located in the King Abdulaziz Endowment - Clock Tower.","Daily
8:00 AM To 10:30 PM",https://tickets.asc.sa/?branch_slug=mkh,Visit_Saudi_Attractions,2026-01-15
POI_000051,Yanbu Lake Park,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"On your visit to Yanbu, you must go to Yanbu Man-Made Lake (Yanbu Lake Park). It is one of the most beautiful public places in Yanbu, where you can enjoy picturesque nature and take a walk in the open air.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000052,Night Market in Yanbu,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"The Night Market was built over 500 years ago close to the seaport in Yanbu. It was started by sailors and fishermen of the Red Sea with whatever they would bring from their fishing trips, whether treasures of the sea or trade connections. The Market stood all these years as a historical symbol, offering its value to visitors who come all year round, decorated by unchanging originality and an archaeological spark allowing it to be one of the best tourist destinations in the West of Saudi Arabia.","Daily
5:00 PM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000053,Yanbu Historic District,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"Heritage monuments remain in Yanbu Historic District, which witnessed many civilizations, peoples, tribes and tumultuous historical events. The monuments are estimated to be about 2500 years old. 

Yanbu Historic District is located in Yanbu Al-Bahr, south of Yanbu, on an area estimated at 45,000 square meters. It includes about 100 heritage buildings, including mosques and various traditional markets.",-,-,Visit_Saudi_Attractions,2026-01-15
POI_000054,Al-Sayegh House of the Arts,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"An outlet for artists, Al-Sayegh House of the Arts is an exceptional destination located in the historical region of Yanbu.  It is a house with a traditional trait in its architecture inspired by the coastal nature of the city.  It includes fine arts that take you to an atmosphere full of amazement without restraining you. On the contrary, it allows your imagination to go wild and is a tourist destination for amateur artists and art lovers.","Daily

5:00 PM To 11:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000055,Al Fairouz Park,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,Enjoy a relaxing picnic among the rustle of trees and the fragrances of flowers in Al Fairouz Park.,"Daily

12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000056,Al Sumayri Public Park,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"If you want to go for a walk in the fresh air, meditation nd relaxation, or if you want to have fun with your children, Al Sumayri Public Park is your destination.","Daily

04:00 PM To 11:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000057,Radwa Heritage Museum,Tourist Attraction,attraction,Yanbu,Madinah,,,4.5,0,"Yanbu has always been a station on the trade route, and the beauty of its beaches has been attracting tourists.","sun To thu:
 10:00 AM To 10:00 PM

fri:
3:30 PM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000058,Coral Island (Marjan Island),Tourist Attraction,attraction,Dammam,Eastern Province,,,4.5,0,"Marjan Island, overlooking the enchanting blue waters of the Arabian Gulf, was opened in 1991 and the green area covers an area of up to 53,000 square meters.","Daily

12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000059,The Heritage Village,Tourist Attraction,attraction,Dammam,Eastern Province,,,4.5,0,"The Heritage Village in Dammam is the name of the place where you can meet the past of Saudi Arabia and the heritage of its regions, on an area that extends to 21,000 square meters. Its beautiful architecture hides within it a rich history.","sun To wed:
12:00 PM To 12:00 AM
thu To fri:
12:00 PM To 1:00 AM
sat:
12:00 PM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000060,Khobar Sea Front,Tourist Attraction,attraction,Al Khobar,Eastern Province,,,4.5,0,"The Khobar Sea Front welcomes its visitors with water and greenery, where towering trees spread as far as the eye can see and art pieces are scattered throughout. One of the water fountains takes the shape of a shell with a shiny pearl in the middle, symbolizing one of the most beautiful treasures of the Arabian Gulf, whose crashing waves soften the atmosphere.","Daily

12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000061,Scitech Center,Tourist Attraction,attraction,Dammam,Eastern Province,,,4.5,0,"Sultan bin Abdulaziz Science and Technology Center (SciTech) is located on Khobar Corniche, occupying an area of 21,700 square meters. It was established in 2000 to be a global scientific center that helps researchers, students, and enthusiasts in the fields of science and technology.","sun To thu:
9:00 AM To 10:00 PM
fri: 
4:00 PM To 10:00 PM
sat:
9:00 AM To 10:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000062,Ithra,Tourist Attraction,attraction,Dammam,Eastern Province,,,4.5,0,"The King Abdulaziz Center for World Culture, is Saudis premier hub for arts, creativity, and global cultural exchange. Located in Dhahran, this architectural masterpiece features world-class museums, interactive exhibitions, a vast library, a performing arts theater, and inspiring learning spaces.

As a leading cultural destination, Ithra hosts international events such as Japan Cultural Days, global art showcases, and thought-provoking festivals that connect Saudi with the world. From live performances and artistic collaborations to science, literature, and history workshops, Ithra offers an immersive experience where creativity and knowledge thrive. Whether exploring its exhibitions or attending international cultural celebrations, Ithra is a must-visit attraction in Saudi.","Daily
9:00 AM To 12:00 AM",https://www.ithra.com/en,Visit_Saudi_Attractions,2026-01-15
POI_000063,Arruddaf Park,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,Enjoy Taifs rocky terrain and its pure fresh air in Arruddaf Park. The park spans over 500m2 of land covered in nature's most vibrant colors. You can bask in the beauty of the cirrus clouds as they float over the marvelous greenery and highlands of the park. You can also enjoy the beautiful sounds of nature or the live musical shows accompanied by interactive water fountains.,"mon To sat:
4:00 PM To 1:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000064,Al-Shafa Mountain,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"At the top of Al-Shafa Mountain over 2500 m. above sea level, you will enjoy the natural stunning scenery of the white fog embracing the tall Sarawat Mountain peaks with its emitting aroma of juniper trees. You can take beautiful shots of the warm sun setting down the mountains overlooking the Tohama plains, the fertile valleys, and the green fields of pomegranate, grape, and fig trees.The distance between Al-Shafa Mountains and Al-Taif is about 30 km by car through Okba Al-Mohammadia Road which connects Al-Taif to Makkah.","Daily

12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000065,Rose product factories,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"You must return from your trip to Taif loaded with the fragrance of roses, whether with the pictures you took to enjoy their beauty or by buying their distinguished products. One of the most beautiful exceptional experiences that you will have is a visit to the famous factories of Taif rose products to embark on a rich and unparalleled journey of exploration.","Daily

6:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000066,Wahba Crater,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"Wahba Crater is the largest and deepest volcanic crater in the Kingdom of Saudi Arabia, with a diameter of 3,000 meters, and surrounded by Al Luhayan, Umm Rilan, and Zabna mountains forming a scenic view that embodies the wonders of nature in Saudi Arabia.

The Crater, which is about 380 meters deep, attracts geologists to explore its secrets and observe its diverse and exotic rock formations. Traditional legends are known and spread among residents of nearby villages around the Crater formation.",,-,Visit_Saudi_Attractions,2026-01-15
POI_000067,Kaaki Palace,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"In the historical area of ??Taif, the exquisite architectural artistry of Al-Kaaki Palace combined juniper wood, granite stone, and colored glass to form and build the palace in the ancient Roman style, blended the spirit of the Hijaz community presented in the design of the palace windows and in the Hijazi decorations extending to the roof, forming an architectural masterpiece located on Al-Salama street.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000068,Al-Hada Mountain,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"It is time to discover the majestic Al-Hada Mountain, one of the most famous mountains in Saudi Arabia. Al-Hada Mountain is one of Al-Sarawat Mountains range extending in a curved line of about 87 km between the two cities of Taif and Makkah. You will certainly notice the gradual drop in temperature on your journey on Al-Hada Road.","Daily
12:00 AM To 12:00 AM",-,Visit_Saudi_Attractions,2026-01-15
POI_000069,Earus Almasayif Museum,Tourist Attraction,attraction,Taif,Makkah,,,4.5,0,"Discover the charm of Taif's Earus Almasayif Museum, a top destination for those seeking to immerse themselves in the rich cultural and historical heritage of the region. Wander through its beautifully curated rooms to admire fascinating artifacts, traditional crafts, and ancient architectur, all within a uniquely preserved heritage setting.","Daily
8:00 AM to 11:30 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000070,The Historical Palace of the Emirate,Tourist Attraction,attraction,Najran,Najran,,,4.5,0,"The Aba Al-Saud neighborhood (Al-Balad) in the city of Najran embraces an important national heritage site that catches the eye of visitors immediately. Upon arriving at the old heritage market, you will see the historic Emirate Palace in all its splendor and grandeur, providing an idea of the architectural fabric of the mud houses in Najran, and serving as an inspiring cultural framework for visitors and tourists, and a bridge of communication between generations.","Daily
9:00 AM To 6:00 PM",-,Visit_Saudi_Attractions,2026-01-15
POI_000071,The Historical City of Al-Okhdood,Tourist Attraction,attraction,Najran,Najran,,,4.5,0,"The historic city of Al-Okhdood is located southwest of Najran, with a past that dates back to ancient times. It witnessed periods of history that extend to 1000 BC, and its history reveals human civilizations over different historical periods.",-,-,Visit_Saudi_Attractions,2026-01-15
